epochs,batch,wd,lr,train_accuracy,val_accuracy,test_accuracy
15,32,0.01,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.01,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.01,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.01,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,32,0.001,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.001,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.001,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.001,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,32,0.0001,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.0001,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.0001,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.0001,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,64,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.1,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.1,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.1,0.0001,0.9932432432432432,1.0,0.9782608695652174
15,64,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.01,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.01,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.01,0.0001,0.9932432432432432,1.0,0.9782608695652174
15,64,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.001,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.001,0.0001,0.9932432432432432,1.0,0.9782608695652174
15,64,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.0001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.0001,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.0001,0.0001,0.9932432432432432,1.0,0.9782608695652174
